,Name,Latitude,Longitude
0,상천네트워크 시흥풀페이주유소 화장실,37.42664981,126.7722657
1,신천아이씨주유소 화장실,37.42791464,126.7740425
2,불성사 화장실,37.43234417,126.9599345
3,시흥까치주유소 화장실,37.43616124,126.7743115
4,시흥주유소 화장실,37.42963046,126.7918616
5,미산주유소 화장실,37.42069597,126.7898167
6,안현주유소 화장실,37.43186346,126.8102361
7,시흥알찬주유소 화장실,37.43485893,126.8083077
8,KH에너지직영 KH삼성주유소 화장실,37.42745113,126.8360971
9,롯데제2주유소 화장실,37.430695,126.8362482
10,한양주유소 화장실,37.42294317,126.8366221
11,석수체육공원 화장실,37.42269855,126.9023188
12,안양주유소 화장실,37.4294005,126.9047505
13,남서울주유소 화장실,37.43367696,126.9028288
14,하나은행시흥남지점 개방화장실,37.43498573,126.9034328
15,석수동주유소 화장실,37.42015085,126.9072657
16,남경주유소 화장실,37.42093347,126.9079516
17,김천빌딩 화장실,37.42053022,126.9084672
18,안양사 화장실,37.42254865,126.923942
19,염불암 화장실,37.42790346,126.9345749
20,삼막사 화장실,37.4339194,126.9359572
21,과천서울대공원 화장실9,37.42749148,127.0167979
22,서울대공원 화장실1,37.42785161,127.018669
23,서울대공원 화장실4,37.4267774,127.0198799
24,과천서울대공원 화장실8,37.42358421,127.0197796
25,서울대공원 화장실5,37.42358781,127.0197751
26,서울랜드 화장실,37.43255117,127.0195424
27,과천서울대공원 화장실2,37.42720608,127.021073
28,과천서울대공원 화장실3,37.42508286,127.0232913
29,과천서울대공원 화장실6,37.4215006,127.0223593
30,서울대공원 화장실7,37.42152222,127.0223503
31,탄천 화장실,37.42833942,127.1178885
32,모란다목적공영주차장 제3화장실,37.42846289,127.1265668
33,모란다목적공영주차장 제1화장실,37.42904173,127.1278784
34,개방화장실 농협중앙회 모란지점,37.43160724,127.1284251
35,개방화장실 모란종합시장,37.43063515,127.1274925
36,모란다목적공영주차장 제2화장실,37.42808727,127.1273074
37,써미트빌딩 개방화장실,37.43426216,127.1295867
38,성모윌병원 개방화장실,37.43444739,127.1282853
39,개방화장실 평화빌딩,37.4300711,127.1447193
40,개방화장실 태연스카이빌,37.42875043,127.1488926
41,대원공원 화장실,37.43530656,127.1542479
42,개방화장실 스타우드프라자,37.43287878,127.1613341
43,상대원프라자 개방화장실,37.43597814,127.1587735
44,SK에너지 박미주유소 개방화장실,37.4371942,126.902431
45,대한주유소 화장실,37.43829661,126.7929992
46,개방화장실 대원교회,37.43836159,127.1578972
47,새소망병원 개방화장실,37.43862541,127.1274427
48,정풍빌딩 개방화장실,37.43936066,127.1274214
49,제일프라자빌딩 개방화장실,37.43902711,127.1292423
50,기아대교 1호 개방화장실,37.43976182,126.9021091
51,성남중앙지하도상가 E동 개방화장실,37.43985249,127.1447472
52,개방화장실 성남중앙지하도상가C동,37.44027952,127.1462487
53,개방화장실 선경종합A상가,37.43997579,127.171144
54,삼미시장씨디협동조합 화장실,37.44080552,126.78322
55,신천리주유소 화장실,37.44039281,126.7861592
56,신천프라자빌딩 화장실,37.44114643,126.7843852
57,삼미시장협동조합 화장실,37.44040667,126.7838766
58,금강주유소 화장실,37.44086111,126.8330033
59,시흥3동주민센터 개방화장실,37.44025677,126.9057854
60,대득에너지 금천셀프주유소 개방화장실,37.44119141,126.902801
61,박미사랑마을회관 개방화장실,37.44054283,126.9074801
62,관문체육공원 화장실,37.44048884,126.995367
63,성남정병원 개방화장실,37.43985811,127.1289997
64,곽여성병원 개방화장실,37.44077734,127.1304612
65,SR프라자 개방화장실,37.44072854,127.1322194
66,SK에너지 시흥주유소 화장실,37.44152699,126.7835795
67,교보생명 개방화장실,37.44206413,127.1367193
68,스케쳐스 화장실,37.44149123,126.779828
69,태평물놀이장 화장실,37.44209414,127.1189689
70,이동식화장실임대,37.44316252,126.7831906
71,신천제일주유소 화장실,37.44297215,126.7739158
72,은계호수공원 공용화장실,37.44393182,126.8059024
73,시흥계곡 개방화장실,37.44355249,126.9163111
74,한신프라자오피스텔 개방화장실,37.44374192,127.1528142
75,시흥유통종합상가 개방화장실,37.44468229,126.9010517
76,단대전통시장 개방화장실,37.4448127,127.1580147
77,대야동주유소 화장실,37.44527325,126.7904938
78,GS칼텍스 일신주유소 개방화장실,37.4444759,126.9042659
79,문화주유소 개방화장실,37.4453005,126.9033788
80,금천구시설공단 개방화장실,37.44588375,126.9026322
81,제중빌딩 개방화장실,37.44416845,127.1431825
82,이마트성남점 개방화장실,37.44402097,127.1414476
83,황송공원 화장실,37.44497447,127.1737184
84,대광주유소 화장실,37.44674855,126.8318782
85,제4야영장A 개방화장실,37.44671245,126.947853
86,제4야영장B 개방화장실,37.446615,126.9475276
87,일오삼플레이스 개방화장실,37.44890085,126.9032431
88,삼막정 개방화장실,37.44750296,126.9465551
89,제1야영장 개방화장실,37.44748242,126.9449887
90,계수한식부페 화장실,37.44864895,126.8066542
91,시흥5동주민센터 개방화장실,37.45073577,126.90834
92,백산주유소 개방화장실,37.44971869,126.902912
93,에벤에셀프라자 개방화장실,37.45043388,126.9094434
94,범일운수 개방화장실,37.44986617,126.9117315
95,금천청소년수련관 1층 개방화장실,37.44819318,126.9156979
96,새마을금고 옆 개방화장실,37.44986695,126.9127836
97,벽산1단지 상가 개방화장실,37.44999004,126.9173108
98,벽산5단지 상가 개방화장실,37.44980086,126.9199759
99,금천종합복지타운 1층 개방화장실,37.45030347,126.9146038
100,희망대공원 화장실3,37.44705759,127.1528662
101,희망대공원 화장실,37.4479482,127.1497263
102,희망대공원 화장실2,37.44640771,127.1509527
103,경원프라자 개방화장실,37.44883964,127.1271301
104,개방화장실 월드비전,37.44970315,127.1660806
105,우리주유소 화장실,37.44953126,126.8106842
106,명연에너지 시흥IC훼미리주유소 화장실,37.45314652,126.7957702
107,샘터주유소 화장실,37.45306222,126.8169049
108,플라자 카멜리아 개방화장실,37.45157012,126.9083604
109,금천마을예술창작소 어울샘 개방화장실,37.45180576,126.9116195
