name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count
봉천역,서울특별시 관악구 봉천동 979-7 봉천역(2호선),1,1,:~:,37.4822899,126.942836,1,0
서울역,서울특별시 중구 남대문로5가 73-6 서울역(1호선),1,1,:~:,37.55690279,126.9725599,1,0
시청역,서울특별시 중구 정동 5-5 시청역(1호선),1,1,:~:,37.56560844,126.9769447,1,0
종각역,서울특별시 종로구 종로1가 54 종각역(1호선),1,1,:~:,37.5702326,126.9814158,1,0
종로3가역,서울특별시 종로구 종로3가 10-5 종로3가역(1호선),1,1,:~:,37.570517,126.9911174,1,0
종로5가역,서울특별시 종로구 종로5가 82-1 종로5가역(1호선),1,1,:~:,37.57103115,127.0019425,1,0
동대문역,서울특별시 종로구 창신동 492-1 동대문역(1호선),1,1,:~:,37.57176702,127.0112572,1,0
신설동역,서울특별시 동대문구 신설동 76-5 신설동역(1호선),1,1,:~:,37.5764587,127.0259607,1,0
제기동역,서울특별시 동대문구 제기동 65 제기동역(1호선),1,1,:~:,37.57827141,127.0387737,1,0
청량리(서울시립대입구)역,서울특별시 동대문구 전농동 620-69 청량리역(1호선),1,1,:~:,37.57981789,127.0460264,1,0
동묘앞역,서울특별시 종로구 숭인동 117 동묘앞역(1호선),1,1,:~:,37.57359668,127.0171392,1,0
시청역,서울특별시 중구 서소문동 90-1 시청역(2호선),1,1,:~:,37.56356289,126.9755191,1,0
을지로입구역,서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),1,1,:~:,37.56605956,126.9820843,1,0
을지로3가역,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),1,1,:~:,37.56621071,126.9902285,1,0
을지로4가역,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),1,1,:~:,37.5665283,126.9965433,1,0
동대문역사문화공원(DDP)역,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),1,1,:~:,37.56577472,127.0085615,1,0
신당역,서울특별시 중구 신당동 99 신당역(2호선),1,1,:~:,37.56532543,127.0166672,1,0
상왕십리역,서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),1,1,:~:,37.56397414,127.0298085,1,0
왕십리(성동구청)역,서울특별시 성동구 행당동 192 왕십리역(2호선),1,1,:~:,37.56122174,127.0366554,1,0
한양대역,서울특별시 성동구 행당동 산17 한양대역(2호선),1,1,:~:,37.55557788,127.0435845,1,0
뚝섬역,서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),1,1,:~:,37.54718822,127.0473652,1,0
성수역,서울특별시 성동구 성수동2가 300-1 성수역(2호선),1,1,:~:,37.54468253,127.0569828,1,0
건대입구역,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),1,1,:~:,37.54081604,127.0690313,1,0
구의(광진구청)역,서울특별시 광진구 구의동 245-24 구의역(2호선),1,1,:~:,37.53832124,127.0907671,1,0
강변(동서울터미널)역,서울특별시 광진구 구의동 546-6 강변역(2호선),1,1,:~:,37.53536768,127.0945515,1,0
잠실나루역,서울특별시 송파구 신천동 15 잠실나루역(2호선),1,1,:~:,37.51893173,127.1047568,1,0
잠실(송파구청)역,서울특별시 송파구 신천동 8 잠실역(2호선),1,1,:~:,37.51406274,127.1020523,1,0
잠실새내역,서울특별시 송파구 잠실동 33 잠실새내역(2호선),1,1,:~:,37.51154926,127.0891944,1,0
종합운동장역,서울특별시 송파구 잠실동 122 종합운동장역(2호선),1,1,:~:,37.51110835,127.0742896,1,0
삼성(무역센터)역,서울특별시 강남구 삼성동 172-66 삼성역(2호선),1,1,:~:,37.51477097,127.0632365,1,0
선릉역,서울특별시 강남구 삼성동 172-66 선릉역(2호선),1,1,:~:,37.51477097,127.0632365,1,0
역삼역,서울특별시 강남구 역삼동 804 역삼역(2호선),1,1,:~:,37.50124939,127.0383316,1,0
강남역,서울특별시 강남구 역삼동 858 강남역(2호선),1,1,:~:,37.49705725,127.0281807,1,0
"교대(법원, 검찰청)역",서울특별시 서초구 서초동 1748-4 교대역(2호선),1,1,:~:,37.49486936,127.0173209,1,0
서초역,서울특별시 서초구 서초동 1748-5 서초역(2호선),1,1,:~:,37.49279505,127.0105692,1,0
방배역,서울특별시 서초구 방배동 912-14 방배역(2호선),1,1,:~:,37.48134043,126.9973406,1,0
사당역,서울특별시 동작구 사당동 1129 사당역(2호선),1,1,:~:,37.47611377,126.9733888,1,0
낙성대(강감찬)역,서울특별시 관악구 봉천동 1693-39 낙성대역(2호선),1,1,:~:,37.47666208,126.9646102,1,0
서울대입구(관악구청)역,서울특별시 관악구 봉천동 979-2 서울대입구역(2호선),1,1,:~:,37.48124325,126.9516163,1,0
신림역,서울특별시 관악구 신림동 1467-10 신림역(2호선),1,1,:~:,37.48411965,126.9287121,1,0
신대방역,서울특별시 동작구 신대방동 643-1 신대방역(2호선),1,1,:~:,37.48755023,126.9129604,1,0
구로디지털단지역,서울특별시 구로구 구로동 810-3 구로디지털단지역(2호선),1,1,:~:,37.48517101,126.8995362,1,0
대림(구로구청)역,서울특별시 구로구 구로동 1204 대림역(2호선),1,1,:~:,37.49343182,126.8947997,1,0
신도림역,서울특별시 구로구 신도림동 460-26 신도림역(2호선),1,1,:~:,37.508739,126.891109,1,0
문래역,서울특별시 영등포구 문래동3가 68-1 문래역(2호선),1,1,:~:,37.51870146,126.8945624,1,0
영등포구청역,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),1,1,:~:,37.52540171,126.8969515,1,0
당산역,서울특별시 영등포구 당산동 6가 323-1 당산역(2호선),1,1,:~:,37.53576493,126.9026782,1,0
합정역,서울특별시 마포구 서교동 393 합정역(2호선),1,1,:~:,37.55011521,126.9146382,1,0
