name,address,disabled_man,disabled_woman,opentime,latitude,longitude,diaper,error_count
상천네트워크 시흥풀페이주유소 화장실,경기 시흥시 방산동 206-4,0,0,:~:,37.42664981,126.7722657,0,0
신천아이씨주유소 화장실,경기 시흥시 방산동 203-1,0,0,:~:,37.42791464,126.7740425,0,0
불성사 화장실,경기 안양시 동안구 비산동 46-9,0,0,:~:,37.43234417,126.9599345,0,0
시흥까치주유소 화장실,경기 시흥시 신천동 551-1,0,0,:~:,37.43616124,126.7743115,0,0
시흥주유소 화장실,경기 시흥시 신천동 892-4,0,0,:~:,37.42963046,126.7918616,0,0
미산주유소 화장실,경기 시흥시 미산동 251-1,0,0,:~:,37.42069597,126.7898167,0,0
안현주유소 화장실,경기 시흥시 안현동 184-3,0,0,:~:,37.43186346,126.8102361,0,0
시흥알찬주유소 화장실,경기 시흥시 안현동 172-1,0,0,:~:,37.43485893,126.8083077,0,0
KH에너지직영 KH삼성주유소 화장실,경기 시흥시 과림동 764-2,0,0,:~:,37.42745113,126.8360971,0,0
롯데제2주유소 화장실,경기 시흥시 과림동 678-1,0,0,:~:,37.430695,126.8362482,0,0
한양주유소 화장실,경기 시흥시 무지내동 36-5,0,0,:~:,37.42294317,126.8366221,0,0
석수체육공원 화장실,경기 안양시 만안구 석수동 251-1,0,0,:~:,37.42269855,126.9023188,0,0
안양주유소 화장실,경기 안양시 만안구 석수동 389-14,0,0,:~:,37.4294005,126.9047505,0,0
남서울주유소 화장실,경기 안양시 만안구 석수동 365-2,0,0,:~:,37.43367696,126.9028288,0,0
하나은행시흥남지점 개방화장실,서울 금천구 시흥동 967-1,0,0,:~:,37.43498573,126.9034328,0,0
석수동주유소 화장실,경기 안양시 만안구 석수동 259-1,0,0,:~:,37.42015085,126.9072657,0,0
남경주유소 화장실,경기 안양시 만안구 석수동 102-11,0,0,:~:,37.42093347,126.9079516,0,0
